image_name,ascus,asch,lsil,hsil,scc,agc,trichomonas,candida,flora,herps,actinomyces
ComparisonDetectorDataset/train/06891.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/04977.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00767.bmp,0,0,1,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06109.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00154.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/02147.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/05949.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/04370.bmp,0,1,0,1,1,0,0,0,0,0,0
ComparisonDetectorDataset/train/02448.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06118.bmp,0,0,1,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/04421.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/02134.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/test/03952.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/04301.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/01136.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/04021.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/04499.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/05312.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/03085.bmp,0,0,0,0,0,0,0,1,0,0,0
ComparisonDetectorDataset/test/07078.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06437.bmp,0,0,1,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/02439.bmp,0,0,0,0,0,0,0,0,0,0,1
ComparisonDetectorDataset/test/03903.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/07327.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/03449.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/02592.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01717.bmp,0,0,0,0,0,0,0,0,0,1,0
ComparisonDetectorDataset/train/03282.bmp,1,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00286.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/05899.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/01542.bmp,0,1,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06364.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01125.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/04177.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00311.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/04513.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/04677.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/07263.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/01325.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/07279.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/04986.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/test/04253.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/07258.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/test/03045.bmp,0,0,1,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06585.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/05244.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/05039.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06656.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00010.bmp,0,0,1,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/02927.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/07445.bmp,0,0,0,0,0,0,0,0,0,0,1
ComparisonDetectorDataset/train/07143.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/test/02262.bmp,0,0,0,1,1,0,0,0,0,0,0
ComparisonDetectorDataset/train/05133.bmp,0,0,0,1,1,0,0,0,0,0,0
ComparisonDetectorDataset/train/03404.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01834.bmp,0,1,0,1,1,0,0,0,0,0,0
ComparisonDetectorDataset/train/07409.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/06107.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01260.bmp,1,0,1,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01189.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06942.bmp,0,0,1,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00820.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06622.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/test/03338.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/06553.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01205.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/test/02932.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/01088.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/test/05057.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/test/03456.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/02472.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/03720.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/02620.bmp,1,0,0,0,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/05326.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/05769.bmp,0,0,0,0,0,1,0,0,0,0,0
ComparisonDetectorDataset/train/03560.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/00180.bmp,0,0,0,0,0,0,1,0,0,0,0
ComparisonDetectorDataset/train/06032.bmp,0,0,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/02438.bmp,0,0,0,0,0,0,0,0,0,0,1
ComparisonDetectorDataset/train/03883.bmp,0,1,0,1,0,0,0,0,0,0,0
ComparisonDetectorDataset/train/04444.bmp,0,0,0,1,0,0,0,0,0,0,0
